Progress,Duration (in seconds),Finished,Q1_1,Q2_1,Q3_1,Q5,Q5_4_TEXT,Medical Student,Resident/Fellow,Resident/Fellow_4_TEXT,Resident/Fellow.1,Resident/Fellow_5_TEXT,Attending,Attending.1,Q55,Q56,Q54,Q1,Q2,Q3,Q4,Q39,Q41,Q40,Q42,Q44,Q45,Q46,Q47,SC0,block2progress,random
Progress,Duration (in seconds),Finished,How would you rank your knowledge of the management of traumatic dental injuries? - Knowledge Level,How would you rank your confidence in advising a patient who presents with a knocked out (avulsed) tooth? - Knowledge Level,How would you rank your confidence in advising a patient who presents with a fractured tooth? - Knowledge Level,What is your educational status? - Selected Choice,What is your educational status? - Other (please specify) - Text,What year are you in?,What is your specialty? - Selected Choice,What is your specialty? - Other (please specify) - Text,What year of training are you in? - Selected Choice,What year of training are you in? - Other (please specify) - Text,What is your specialty?,How many years has it been since you completed residency training?,Please check the box below,Please check the box below,Please check the box below,What dental injury is most likely shown in this case?,What would be the treatment of choice for this injury?,What (if any) would be the most appropriate antibiotic recommendation for this patient?,What dental injury is most likely shown in this case?,What would be the treatment of choice for this injury?,T/F: A tooth that has been outside of the mouth for >60 minutes should not be placed back in the socket.,Rank the following storage mediums from best to worst prognosis.,What (if any) would be the appropriate antibiotic therapy for this patient?,What dental injury is most likely shown in this case?,"What treatment, if any, is indicated for this case?","The patient isn’t sure where the fractured fragment went. Imaging of which area, if any, could be useful to locate the fragment?",Antibiotic therapy is up to provider discretion for fractured teeth. Which of these is not an indication for antibiotic therapy?,Score,block2progress,random
"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_4_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_5_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID54""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID40""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""SC_9HVMfMzEynASIYK""}","{""ImportId"":""block2progress""}","{""ImportId"":""random""}"
100,451,True,3,5,4,Attending,nan,nan,nan,nan,nan,nan,Emergency Medicine,6-15 years,I have read the above statement on material use,nan,nan,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Saline>Milk>Tap Water>Air,Antibiotics are not indicated,Complicated crown fracture of a primary incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest and/or soft tissues of the face,All of these are indications for antibiotic therapy,7.0,nan,2.0
100,683,True,1,6,6,Medical Student,nan,M4,nan,nan,nan,nan,nan,nan,nan,nan,I have read the above statement and opened the ChatGPT window,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Doxycycline BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest,All of these are indications for antibiotic therapy,8.0,nan,2.0
100,178,True,5,7,6,Resident/Fellow,nan,nan,Other (please specify),Pediatric Emergency Medicine,Fellow,nan,nan,nan,I have read the above statement on material use,nan,nan,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Antibiotics are not indicated,Uncomplicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest,All of these are indications for antibiotic therapy,7.0,nan,2.0
100,885,True,3,3,3,Medical Student,nan,M4,nan,nan,nan,nan,nan,nan,nan,I have read the above statement and opened the PDF window,nan,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Amoxicillin BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest and/or soft tissues of the face,All of these are indications for antibiotic therapy,10.0,nan,2.0
100,540,True,1,2,2,Medical Student,nan,M4,nan,nan,nan,nan,nan,nan,nan,nan,I have read the above statement and opened the ChatGPT window,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a primary tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Air>Tap Water,Doxycycline BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Soft tissues of the face,The patient is immunocompromised,6.0,nan,2.0
100,355,True,0,1,1,Resident/Fellow,nan,nan,Family Medicine,nan,PGY-2,nan,nan,nan,I have read the above statement on material use,nan,nan,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Extrusion of a primary tooth,I'm not sure,I'm not sure,Milk>Saline>Tap Water>Air,I'm not sure,Uncomplicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Soft tissues of the face,The patient has significant associated soft tissue trauma,5.0,nan,1.0
82,128,False,7,10,6,Resident/Fellow,nan,nan,Emergency Medicine,nan,Fellow,nan,nan,nan,nan,nan,I have read the above statement and opened the ChatGPT window,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Rinse the tooth with saline and scrub the root with gauze to remove any residual fibers. Re-implant and splint the tooth to the neighboring teeth,True,Milk>Saline>Tap Water>Air,Antibiotics are not indicated,nan,nan,nan,nan,6.0,nan,nan
65,199,False,5,5,5,Resident/Fellow,nan,nan,Other (please specify),Pediatric Emergency Medicine,Fellow,nan,nan,nan,nan,I have read the above statement and opened the PDF window,nan,Primary tooth avulsion,Re-implant and splint the tooth to the neighboring teeth,Antibiotics are not indicated,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan
100,265,True,0,0,0,Medical Student,nan,M4,nan,nan,nan,nan,nan,nan,I have read the above statement on material use,nan,nan,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,I'm not sure,I'm not sure,Milk>Saline>Tap Water>Air,I'm not sure,Uncomplicated crown fracture of a permanent incisor,I'm not sure,Soft tissues of the face,All of these are indications for antibiotic therapy,5.0,nan,1.0
100,5321,True,7,9,9,Attending,nan,nan,nan,nan,nan,nan,Emergency Medicine,25+ years,nan,I have read the above statement and opened the PDF window,nan,Permanent tooth avulsion,Re-implant and splint the tooth to the neighboring teeth,Amoxicillin BID for 7 days,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Amoxicillin BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest,All of these are indications for antibiotic therapy,6.0,nan,1.0
100,382,True,7,6,6,Resident/Fellow,nan,nan,Emergency Medicine,nan,Fellow,nan,nan,nan,nan,nan,I have read the above statement and opened the ChatGPT window,Primary tooth avulsion,No treatment needed,I'm not sure,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Saline>Milk>Tap Water>Air,Amoxicillin BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest,All of these are indications for antibiotic therapy,7.0,nan,2.0
100,871,True,6,7,6,Attending,nan,nan,nan,nan,nan,nan,Emergency Medicine,6-15 years,nan,nan,I have read the above statement and opened the ChatGPT window,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Either amoxicillin or doxycycline BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest and/or soft tissues of the face,All of these are indications for antibiotic therapy,9.0,nan,1.0
100,384,True,9,9,10,Attending,nan,nan,nan,nan,nan,nan,Pediatric Medicine,16-25 years,nan,I have read the above statement and opened the PDF window,nan,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Amoxicillin BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest and/or soft tissues of the face,The patient is immunocompromised,10.0,nan,2.0
100,344,True,6,6,6,Resident/Fellow,nan,nan,Other (please specify),Pediatric Emergency Medicine,Fellow,nan,nan,nan,I have read the above statement on material use,nan,nan,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Amoxicillin BID for 7 days,Uncomplicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest,All of these are indications for antibiotic therapy,8.0,nan,2.0
100,1069,True,2,2,1,Resident/Fellow,nan,nan,Pediatric Medicine,nan,Fellow,nan,nan,nan,nan,I have read the above statement and opened the PDF window,nan,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Rinse the tooth with saline and scrub the root with gauze to remove any residual fibers. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Amoxicillin BID for 7 days,Uncomplicated crown fracture of a permanent incisor,The tooth should be splinted to the neighboring teeth,Chest and/or soft tissues of the face,All of these are indications for antibiotic therapy,7.0,nan,1.0
100,213,True,2,2,3,Other (please specify),Pediatric Nurse Practitioner,nan,nan,nan,nan,nan,nan,nan,nan,nan,I have read the above statement and opened the ChatGPT window,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Extrusion of a permanent tooth,Rinse the tooth with saline and scrub the root with gauze to remove any residual fibers. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Antibiotics are not indicated,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest and/or soft tissues of the face,All of these are indications for antibiotic therapy,7.0,nan,1.0
100,384,True,8,8,8,Attending,nan,nan,nan,nan,nan,nan,Pediatric Medicine,25+ years,I have read the above statement on material use,nan,nan,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Antibiotics are not indicated,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest,The patient has an associated tooth root fracture,9.0,nan,2.0
100,6423,True,8,9,8,Attending,nan,nan,nan,nan,nan,nan,Emergency Medicine,6-15 years,I have read the above statement on material use,nan,nan,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Doxycycline BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest,All of these are indications for antibiotic therapy,8.0,nan,1.0
