What dental injury is most likely shown in this case?,Primary tooth avulsion
What would be the treatment of choice for this injury?,No treatment needed
What (if any) would be the most appropriate antibiotic recommendation for this patient?,Antibiotics are not indicated
What dental injury is most likely shown in this case?,Avulsion of a permanent tooth
What would be the treatment of choice for this injury?,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth
T/F: A tooth that has been outside of the mouth for >60 minutes should not be placed back in the socket. ,False
Rank the following storage mediums from best to worst prognosis.,Milk>Saline>Tap Water>Air
What (if any) would be the appropriate antibiotic therapy for this patient?,either Amoxicillin or Doxycycline BID for 7 days
What dental injury is most likely shown in this case?,Complicated crown fracture of a permanent incisor
"What treatment, if any, is indicated for this case? ",The patient should be sent to a dentist as soon as possible to cover the exposed nerve
"The patient isn’t sure where the fractured fragment went. Imaging of which area, if any, could be useful to locate the fragment?",Chest and/or soft tissues of the face
Antibiotic therapy is up to provider discretion for fractured teeth. Which of these is not an indication for antibiotic therapy?,The patient has an associated root fracture
