question_col,correct_answer
Q1,Primary tooth avulsion
Q2,No treatment needed
Q3,Antibiotics are not indicated
Q4,Avulsion of a permanent tooth
Q39,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth
Q41,False
Q40,Milk>Saline>Tap Water>Air
Q42,Either amoxicillin or doxycycline BID for 7 days
Q44,Complicated crown fracture of a permanent incisor
Q45,The patient should be sent to a dentist as soon as possible to cover the exposed nerve
Q46,Chest and/or soft tissues of the face
Q47,The patient has an associated tooth root fracture
